Winner,Loser,Series,Round,Best of,Date,Surface,score
Popyrin A.,O Connell C.,ATP250,1st Round,3,2023-12-31,Hard,"6/4, 6/7, 7/6"
Shevchenko A.,Van Assche L.,ATP250,1st Round,3,2023-12-31,Hard,"6/3, 6/2"
Safiullin R.,Shelton B.,ATP250,1st Round,3,2024-01-01,Hard,"6/3, 6/7, 6/3"
Rune H.,Purcell M.,ATP250,1st Round,3,2024-01-01,Hard,"4/6, 6/4, 6/2"
Dimitrov G.,Murray A.,ATP250,1st Round,3,2024-01-01,Hard,"4/6, 7/5, 6/2"
Hanfmann Y.,Korda S.,ATP250,1st Round,3,2024-01-02,Hard,"7/5, 6/4"
Klein L.,Baez S.,ATP250,1st Round,3,2024-01-02,Hard,"4/6, 6/3, 6/4"
Duckworth J.,Wolf J.J.,ATP250,1st Round,3,2024-01-02,Hard,"6/3, 6/4"
Altmaier D.,Tu L.,ATP250,1st Round,3,2024-01-02,Hard,"7/6, 7/6"
Machac T.,Etcheverry T.,ATP250,1st Round,3,2024-01-02,Hard,"6/7, 7/5, 7/6"
Thompson J.,Vukic A.,ATP250,1st Round,3,2024-01-02,Hard,"6/3, 6/2"
Kubler J.,Karatsev A.,ATP250,1st Round,3,2024-01-02,Hard,"6/4, 6/7"
Arnaldi M.,Fucsovics M.,ATP250,1st Round,3,2024-01-02,Hard,"6/7, 6/4, 7/6"
Nadal R.,Thiem D.,ATP250,1st Round,3,2024-01-02,Hard,"7/5, 6/1"
Hijikata R.,Kokkinakis T.,ATP250,1st Round,3,2024-01-02,Hard,"7/6, 6/2"
Humbert U.,Michelsen A.,ATP250,1st Round,3,2024-01-03,Hard,"6/4, 6/4"
Duckworth J.,Hanfmann Y.,ATP250,2nd Round,3,2024-01-03,Hard,"4/6, 6/1, 7/6"
Arnaldi M.,Klein L.,ATP250,2nd Round,3,2024-01-03,Hard,"6/4, 3/6, 7/5"
Safiullin R.,Popyrin A.,ATP250,2nd Round,3,2024-01-03,Hard,"6/7, 6/4, 7/6"
Rune H.,Shevchenko A.,ATP250,2nd Round,3,2024-01-03,Hard,"6/4, 5/7, 6/2"
Hijikata R.,Machac T.,ATP250,2nd Round,3,2024-01-04,Hard,"5/7, 6/2, 7/6"
Thompson J.,Humbert U.,ATP250,2nd Round,3,2024-01-04,Hard,
Dimitrov G.,Altmaier D.,ATP250,2nd Round,3,2024-01-04,Hard,"6/1, 6/2"
Nadal R.,Kubler J.,ATP250,2nd Round,3,2024-01-04,Hard,"6/1, 6/2"
Safiullin R.,Arnaldi M.,ATP250,Quarterfinals,3,2024-01-05,Hard,"7/6, 6/2"
Rune H.,Duckworth J.,ATP250,Quarterfinals,3,2024-01-05,Hard,"6/2, 7/6"
